iter	RMSE
0	8.749015872
1	8.58159122
2	8.400882392
3	8.257712913
4	8.106305086
5	7.951857213
6	7.806825181
7	7.659571145
8	7.525317563
9	7.376199395
10	7.255029216
11	7.127821852
12	6.989186883
13	6.85196993
14	6.747493193
15	6.633642154
16	6.527516242
17	6.415692388
18	6.301745348
19	6.191375107
20	6.070514964
21	5.981346348
22	5.874846337
23	5.78392249
24	5.695478263
25	5.622666117
26	5.545996903
27	5.463269624
28	5.382108557
29	5.29194648
30	5.196540555
31	5.121225921
32	5.058394522
33	4.990442244
34	4.930024193
35	4.868880276
36	4.814483861
37	4.757340643
38	4.692344716
39	4.623835022
40	4.578750491
41	4.515384268
42	4.467040819
43	4.401180728
44	4.339764698
45	4.286004945
46	4.242134376
47	4.198524437
48	4.149116589
49	4.107431125
50	4.062639322
51	4.027555197
52	3.977241403
53	3.946530156
54	3.909518489
55	3.879615929
56	3.848614392
57	3.804567169
58	3.768515047
59	3.728963018
60	3.689004547
61	3.658787269
62	3.619523201
63	3.586780394
64	3.55505263
65	3.517628814
66	3.484506978
67	3.461985175
68	3.42878937
69	3.407783106
70	3.378691627
71	3.35479903
72	3.334587538
73	3.298984031
74	3.270800505
75	3.245070015
76	3.219034922
77	3.197863125
78	3.18240226
79	3.16168637
80	3.143451961
81	3.123791494
82	3.108391694
83	3.086523506
84	3.06870858
85	3.048129844
86	3.031987324
87	3.011070607
88	2.995065497
89	2.97628062
90	2.958364963
91	2.938964918
92	2.920057624
93	2.902380251
94	2.881714284
95	2.874381071
96	2.856357085
97	2.840067659
98	2.823873859
99	2.811620425
100	2.795534154
101	2.776344203
102	2.764115792
103	2.748330803
104	2.737922708
105	2.723742409
106	2.706662172
107	2.691254906
108	2.678498227
109	2.664987938
110	2.650733858
111	2.641215332
112	2.625198173
113	2.612259333
114	2.601340027
115	2.591476344
116	2.579380037
117	2.564454857
118	2.553659604
119	2.545350307
120	2.531533947
121	2.518900592
122	2.508398361
123	2.500860834
124	2.491945953
125	2.482659648
126	2.473409823
127	2.464560782
128	2.454815216
129	2.445928763
130	2.434483527
131	2.41967053
132	2.410308755
133	2.400133153
134	2.393930654
135	2.385005317
136	2.378957489
137	2.370047944
138	2.361173771
139	2.351418667
140	2.342324803
141	2.33303122
142	2.32725086
143	2.316696632
144	2.307526632
145	2.299029665
146	2.294045003
147	2.282085925
148	2.270365839
149	2.264576965
150	2.255968135
151	2.248925077
152	2.24295636
153	2.236346105
154	2.231391199
155	2.222285102
156	2.209043312
157	2.201413533
158	2.195226529
159	2.188471552
160	2.182413519
161	2.175883381
162	2.170159631
163	2.163826534
164	2.155755025
165	2.148349065
166	2.142757921
167	2.135319462
168	2.128158461
169	2.121161615
170	2.116215211
171	2.10975418
172	2.105150288
173	2.099905126
174	2.093511191
175	2.087357305
176	2.07948789
177	2.072448847
178	2.066431784
179	2.060016266
180	2.052655039
181	2.046403307
182	2.040456394
183	2.034465198
184	2.028795329
185	2.017791138
186	2.012816607
187	2.006715111
188	1.999909391
189	1.994556205
190	1.987711841
191	1.982776008
192	1.974475035
193	1.967751432
194	1.962751971
195	1.956992892
196	1.95316661
197	1.945952946
198	1.941608396
199	1.935469542
200	1.929079619
201	1.92516214
202	1.918104432
203	1.913973262
204	1.907296186
205	1.900421871
206	1.89668238
207	1.892546304
208	1.888976574
209	1.886002196
210	1.882381493
211	1.875577742
212	1.872505981
213	1.869754282
214	1.866162633
215	1.860479104
216	1.85407497
217	1.849591592
218	1.844909857
219	1.839295066
220	1.834317454
221	1.831980158
222	1.823766472
223	1.820273153
224	1.817729028
225	1.811470878
226	1.806537295
227	1.802264826
228	1.796759921
229	1.794086841
230	1.788315523
231	1.784455127
232	1.777102709
233	1.773923425
234	1.767931344
235	1.763076148
236	1.759487144
237	1.756669231
238	1.752261839
239	1.747766996
240	1.742200682
241	1.735581856
242	1.732429702
243	1.727105984
244	1.720927697
245	1.718334981
246	1.713610138
247	1.710441187
248	1.707130194
249	1.703420918
250	1.699848957
251	1.695311761
252	1.691769218
253	1.686186625
254	1.681530389
255	1.679144385
256	1.674672496
257	1.669886996
258	1.667647244
259	1.665300123
260	1.660742603
261	1.65667166
262	1.652895678
263	1.649318225
264	1.642954207
265	1.639054731
266	1.634843744
267	1.632175284
268	1.628383811
269	1.624024681
270	1.618853983
271	1.614441739
272	1.611626565
273	1.6060434
274	1.604166421
275	1.600920022
276	1.598267788
277	1.594120987
278	1.591647205
279	1.585980874
280	1.580845067
281	1.578110956
282	1.576273325
283	1.571902622
284	1.568305186
285	1.563981543
286	1.562700404
287	1.560070418
288	1.554706515
289	1.550326543
290	1.548283633
291	1.546031535
292	1.543614609
293	1.541042555
294	1.537229797
295	1.533867093
296	1.53252277
297	1.530014896
298	1.527430962
299	1.523644417
300	1.519711095
301	1.517281072
302	1.514579637
303	1.509125314
304	1.505365585
305	1.503227627
306	1.50057281
307	1.498473201
308	1.492960382
309	1.488318222
310	1.484904679
311	1.481705381
312	1.478580029
313	1.476398195
314	1.472804656
315	1.46845818
316	1.464759982
317	1.461200856
318	1.456396778
319	1.454280237
320	1.453136368
321	1.449971615
322	1.444896812
323	1.443059257
324	1.439136302
325	1.435850266
326	1.431161571
327	1.427823343
328	1.424254439
329	1.421369597
330	1.418186957
331	1.416687752
332	1.415035815
333	1.41245847
334	1.410272693
335	1.405391972
336	1.402921443
337	1.398512149
338	1.396012798
339	1.391212214
340	1.386784171
341	1.382881077
342	1.380558472
343	1.378340397
344	1.374700406
345	1.373382117
346	1.37197024
347	1.368592286
348	1.364064982
349	1.359887867
350	1.356349652
351	1.352967647
352	1.349024945
353	1.345222999
354	1.340632846
355	1.33940763
356	1.336344327
357	1.332689433
358	1.329243419
359	1.326467907
360	1.324631687
361	1.32064846
362	1.317773327
363	1.316418734
364	1.313312274
365	1.31129412
366	1.308383988
